         1240882520 function calls (1240874123 primitive calls) in 692.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.002    0.000    0.022    0.000 _distn_infrastructure.py:626(_construct_argparser)
       65    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      143    0.001    0.000    0.002    0.000 sre_compile.py:248(_optimize_charset)
    16715    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
     5372    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
      647    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
   351/64    0.001    0.000    0.004    0.000 sre_compile.py:64(_compile)
    12033    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    529/6    0.001    0.000    0.356    0.059 <frozen importlib._bootstrap_external>:659(exec_module)
      111    0.001    0.000    0.044    0.000 _distn_infrastructure.py:706(_construct_doc)
      529    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
     5129    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        3    0.001    0.000    0.006    0.002 {scipy.sparse.csgraph._tools.csgraph_from_dense}
     2514    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      775    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:163(__enter__)
     1039    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
  661/633    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
       59    0.001    0.000    0.001    0.000 _k_means.pyx:273(__pyx_fuse_1_centers_dense)
      333    0.001    0.000    0.003    0.000 inspect.py:1750(_signature_bound_method)
     1031    0.001    0.000    0.001    0.000 inspect.py:2399(__init__)
       81    0.001    0.000    0.001    0.000 utils.py:74(__call__)
      643    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
       11    0.001    0.000    0.002    0.000 enum.py:88(__new__)
      643    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
      608    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     1060    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      446    0.001    0.000    0.001    0.000 function_base.py:1912(__init__)
     1655    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1234    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
  576/291    0.001    0.000    0.001    0.000 sre_parse.py:167(getwidth)
     2459    0.001    0.000    0.001    0.000 sre_parse.py:226(__next)
      120    0.001    0.000    0.003    0.000 validation.py:310(check_array)
       15    0.001    0.000    0.001    0.000 numeric.py:2350(within_tol)
        2    0.001    0.000    0.001    0.000 {method 'get_filename' of 'zipimport.zipimporter' objects}
      829    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
     1172    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:406(cached)
      918    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
    946/7    0.001    0.000    0.357    0.051 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      2/1    0.001    0.000    0.100    0.100 {method 'load_module' of 'zipimport.zipimporter' objects}
     2196    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
      505    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
     2196    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
   452/22    0.001    0.000    0.332    0.015 {built-in method builtins.__import__}
        1    0.001    0.001    0.001    0.001 special_matrices.py:1(<module>)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       47    0.001    0.000    0.001    0.000 my_exceptions.py:61(_mk_exception)
      671    0.001    0.000    0.001    0.000 {built-in method builtins.any}
       23    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     1058    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
