         11614234 function calls (11606125 primitive calls) in 13.332 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   180000    2.068    0.000    7.663    0.000 DBCV.py:36(_core_dist)
   180000    1.504    0.000    4.534    0.000 distance.py:2062(cdist)
   360399    1.489    0.000    1.489    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   180000    1.169    0.000    1.419    0.000 DBCV.py:244(_get_label_members)
  1171021    0.730    0.000    0.730    0.000 {built-in method numpy.core.multiarray.array}
   180000    0.490    0.000    1.343    0.000 distance.py:241(_validate_cdist_input)
    90000    0.426    0.000    0.678    0.000 blas.py:279(_get_funcs)
        1    0.288    0.288   12.950   12.950 DBCV.py:91(_mutual_reach_dist_graph)
   630141    0.266    0.000    0.540    0.000 numeric.py:433(asarray)
    90218    0.257    0.000    0.900    0.000 fromnumeric.py:64(_wrapreduction)
   180006    0.249    0.000    0.249    0.000 {built-in method numpy.core.multiarray.where}
   457609    0.214    0.000    0.214    0.000 {built-in method builtins.getattr}
   180008    0.207    0.000    0.341    0.000 shape_base.py:11(atleast_1d)
    90000    0.201    0.000    2.314    0.000 distance.py:434(minkowski)
    90000    0.199    0.000    1.458    0.000 misc.py:11(norm)
    90000    0.197    0.000   11.228    0.000 DBCV.py:63(_mutual_reachability_dist)
   180000    0.184    0.000    0.654    0.000 distance.py:322(_validate_vector)
    90000    0.182    0.000    0.513    0.000 function_base.py:398(asarray_chkfinite)
   180122    0.163    0.000    0.163    0.000 {method 'copy' of 'numpy.ndarray' objects}
   360010    0.162    0.000    0.596    0.000 numeric.py:556(ascontiguousarray)
   180000    0.158    0.000    0.389    0.000 six.py:130(callable)
   180000    0.152    0.000    0.152    0.000 {built-in method scipy.spatial._distance_wrap.cdist_euclidean_double_wrap}
   180051    0.141    0.000    0.141    0.000 {built-in method numpy.core.multiarray.empty}
   360000    0.133    0.000    0.729    0.000 distance.py:184(_convert_to_type)
   180000    0.124    0.000    0.124    0.000 {method 'index' of 'list' objects}
   180000    0.120    0.000    0.120    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   540000    0.120    0.000    0.120    0.000 six.py:131(<genexpr>)
   180660    0.113    0.000    0.233    0.000 {built-in method builtins.any}
   360000    0.110    0.000    0.273    0.000 distance.py:164(_copy_array_if_base_present)
